

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
319,442-AP04,B442,SY2442-1TC02-FACC2602E-A,10.70.16.99,EPC_RMZA-B,74:a2:e6:4a:f2:60,SFGL1907X1UK,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-02,SY2442-1TC02AC26PS24,10.70.28.215,Fa0/1,1T43b,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
320,442-AP05,B442,SY2442-1TC02-FACC2602E-B,10.70.16.100,EPC_RMZA-B,74:a2:e6:4a:e9:78,SFGL1907X1UH,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-02,SY2442-1TC02AC26PS24,10.70.28.215,Fa0/2,1T46d,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
321,446-AP01,B446,SY2442-1TC01-FACC2602E-D,10.70.16.101,EPC_RMZA-C,74:a2:e6:4a:e9:bf,SFGL1907X1UE,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-01,SY2442-1TC01AC26PS48,10.70.28.214,Fa0/4,1S50a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
322,446-AP02,B446,SY2442-1TC02-FACC2602E-C,10.70.16.102,EPC_RMZA-C,74:a2:e6:4a:f2:85,SFGL1907X1UA,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-02,SY2442-1TC02AC26PS24,10.70.28.215,Fa0/3,1T50a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
323,446-AP03,B446,SY2442-1TC02-FACC2602E-D,10.70.16.103,EPC_RMZA-C,f4:cf:e2:be:19:af,SFGL1903X77W,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-02,SY2442-1TC02AC26PS24,10.70.28.215,Fa0/4,1V54a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
324,470-AP12,B470,SY2470-1TC-FACC1242-L,10.70.30.121,BSM_EPC,54:75:d0:11:55:a6,FCW1422U0GK,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-01,SY2470-1TC01AC26PS24,10.70.28.96,Fa0/17,1E1d,470 卸货区,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,2015/7/1 0:00,2015;MS2b,,,
325,692-AP17,B692,SY2692-4TC-FACC1242-D,10.70.30.213,FYT_TBL2_ASCE,c8:4c:75:6d:6f:88,FCW1422U0FP,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,692-TC-04,SY2692-4TCAC26PS24,10.70.28.186,Fa0/20,1N10a,692发胎区,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/9/1 0:00,2015;MS2b,7,1,
326,560-AP18,B560,SY2560-2TC-FACC1242-L,10.70.30.214,FYT_TBL2_ASCE,c8:4c:75:0b:ac:9a,FCW1422U0F3,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,560-TC-02,SY2560-2TCAC26PS48,10.70.28.184,Fa0/40,1D2m,522/524/560车间结合部,,Mounted,SY2100-1MCCCCT5508,1,2015/9/1 0:00,2015;MS2b,7,1,
327,522-AP15,B522,SY2522-2TC-FACC1242-E,10.70.30.215,FYT_TBL2_ASCE,54:75:d0:11:5e:fe,FCW1418U0HC,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.28.199,Fa0/32,1G9i,北区冷库内,,Mounted,SY2100-1MCCCCT5508,1,2015/9/1 0:00,2015;MS2b,7,1,
328,120-BMA1,B120,SY2120-1TC-FACC1242-A,10.70.30.216,ASCE,c8:4c:75:0b:e3:d6,FCW1422U0G7,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.29.153,Fa0/22,,变电所主控室,,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;MS2b,,,
329,417-AP07,B417,SY2417-1TC-FACC1242-H,10.70.30.218,EPC_RMZA-C,D867D98EA4C6,FGL1627U0H3,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/13,1X4a,西区,,New,,1,2016/7/10 0:00,2016;MicroPanda,,,
330,417-AP08,B417,SY2417-1TC-FACC1242-U,10.70.30.219,EPC_RMZA-C,C84C750BE32E,FCW1422U0GF,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-02,SY2417-2TC01AC26PS24,10.70.28.221,Fa0/1,1S2a,西区,,New,,1,2016/7/10 0:00,2016;MicroPanda,,,
331,502-AP01,B502,SY2502-2IC-FACC2702-A,10.70.30.220,ASCE,84:3D:C6:24:81:B0,FGL2031X5B1,AIR-CAP2702E-H-K9,,502-IC-01-S2,SY2502-2IC01DC26PS48,10.70.28.74,Fa0/34,1N35o,B502一楼龙会议室,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
332,603-AP02,B603,SY2603-1IC-FACC2702-A,10.70.30.221,ASCE,00:2A:10:34:1B:64,FGL2031X5B4,AIR-CAP2702E-H-K9,,603-IC-01-S1,SY2603-1ICAC26PS24,10.70.28.170,Fa0/9,2F1p,B603二楼,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
333,603-AP01,B603,SY2603-1IC-FACC2702-B,10.70.30.222,ASCE,84:3D:C6:24:80:44,FGL2031X5AS,AIR-CAP2702E-H-K9,,603-IC-01-S1,SY2603-1ICAC26PS24,10.70.28.170,Fa0/8,1D1j,B603一楼,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
334,402-AP02,B402,SY2402-1TC-FACC2702-B,10.70.30.223,ASCE,84:3D:C6:07:0D:28,FGL2031X5AN,AIR-CAP2702E-H-K9,,402-TC-01,SY2402-1TC01AC26PS48,10.70.28.86,Fa0/44,1W29p,B402东,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
335,402-AP03,B402,SY2402-1TC-FACC2702-C,10.70.30.224,ASCE,00:2A:10:34:1A:EC,FGL2031X5BA,AIR-CAP2702E-H-K9,,402-TC-01,SY2402-1TC01AC26PS48,10.70.28.86,Fa0/2,1W26o,B402西,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
336,100-AP01,B100,SY2100-1TC-FACC2702-E,10.70.30.225,ASCE,00:2A:10:34:1B:04,FGL2031X5AJ,AIR-CAP2702E-H-K9,,100-TC-01,SY2100-1TC01CC26PS48,10.70.28.122,Fa0/42,1G3o,MIS走廊,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
337,200-AP01,B200,SY2200-1IC-FACC2702-A,10.70.30.226,ASCE,00:2A:10:34:1C:A0,FGL2031X5AB,AIR-CAP2702E-H-K9,,200-IC-01-NS2,SY2200-1IC01CC26PS24,10.70.28.125,Fa0/13,1N3j,一楼，活动室,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
338,200-AP02,B200,SY2200-1IC-FACC2702-B,10.70.30.227,ASCE,84:3D:C6:24:7F:C0,FGL2031X5AQ,AIR-CAP2702E-H-K9,,200-IC-01-NS2,SY2200-1IC01CC26PS24,10.70.28.125,Fa0/14,1P2e,一楼，北区西走廊，北侧,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
339,200-AP03,B200,SY2200-1IC-FACC2702-C,10.70.30.228,ASCE,84:3D:C6:24:80:B0,FGL2031X5B3,AIR-CAP2702E-H-K9,,200-IC-01-NS2,SY2200-1IC01CC26PS24,10.70.28.125,Fa0/15,1L1y,一楼，北区西走廊，南侧,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
340,200-AP04,B200,SY2200-2TC-FACC2702-A,10.70.30.229,ASCE,84:3D:C6:07:0E:64,FGL2031X5BQ,AIR-CAP2702E-H-K9,,200-TC-02-01,SY2200-2TC02DC26PS48,10.70.28.134,Fa0/47,2R3q,二楼，MP/BE/Trantiq，200-205,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
341,200-AP05,B200,SY2200-2TC-FACC2702-B,10.70.30.230,ASCE,00:2A:10:34:1A:C4,FGL2031X5B6,AIR-CAP2702E-H-K9,,200-TC-02-01,SY2200-2TC02DC26PS48,10.70.28.134,Fa0/48,2M3p,二楼，MP/BE/Prep，200-207,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
342,200-AP06,B200,SY2200-2TC-FACC2702-C,10.70.30.231,ASCE,84:3D:C6:2B:86:74,FGL2031X5BM,AIR-CAP2702E-H-K9,,200-TC-02-01,SY2200-2TC02DC26PS48,10.70.28.134,Fa0/13,2J3g,二楼，MP/GE/Install，200-211,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
343,200-AP07,B200,SY2200-2TC-FACC2702-D,10.70.30.232,ASCE,00:81:C4:FD:1E:7C,FGL2031X5BB,AIR-CAP2702E-H-K9,,200-TC-02-01,SY2200-2TC02DC26PS48,10.70.28.134,Fa0/14,2G1o,二楼，MP/Fujian，200-249,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
344,200-AP08,B200,SY2200-2TC-FACC2702-E,10.70.30.233,ASCE,84:3D:C6:07:0D:04,FGL2031X5BP,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02EC26PS48,10.70.28.135,Fa0/6,2R2m,二楼，MP/BE/L2，200-201,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
345,200-AP09,B200,SY2200-2TC-FACC2702-F,10.70.30.234,ASCE,84:3D:C6:2B:84:E4,FGL2031X5BL,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02EC26PS48,10.70.28.135,Fa0/9,2C1f,二楼，培训室2号内,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
346,200-AP10,B200,SY2200-2TC-FACC2702-G,10.70.30.235,ASCE,84:3D:C6:24:81:18,FGL2031X5BN,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02EC26PS48,10.70.28.135,Fa0/13,2C3b,二楼，培训室5号内,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
347,200-AP11,B200,SY2200-2TC-FACC2702-H,10.70.30.236,ASCE,84:3D:C6:07:0D:F0,FGL2031X5AC,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02EC26PS48,10.70.28.135,Fa0/17,2B2c,二楼，培训室7号内,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
348,200-AP12,B200,SY2200-2TC-FACC2702-I,10.70.30.237,ASCE,00:81:C4:FD:1C:C0,FGL2031X5AP,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02HC26PS48,10.70.28.138,Fa0/48,2P1q,二楼，MP/BE/Translation，200-269,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
349,200-AP13,B200,SY2200-2TC-FACC2702-J,10.70.30.238,ASCE,00:2A:10:34:1A:9C,FGL2031X5B0,AIR-CAP2702E-H-K9,,200-TC-02-02,SY2200-2TC02EC26PS48,10.70.28.135,Fa0/40,2L1o,二楼，MP/Manager，200-259,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
350,200-AP14,B200,SY2200-3TC-FACC2702-A,10.70.30.239,ASCE,00:81:C4:FD:1D:18,FGL2031X5AM,AIR-CAP2702E-H-K9,,200-TC-03-01,SY2200-3TC03JC26PS48,10.70.28.159,Fa0/22,3K1q,三楼，中区东走廊，近上海会议室,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
351,200-AP15,B200,SY2200-3TC-FACC2702-B,10.70.30.240,ASCE,00:2A:10:34:1A:78,FGL2031X5AZ,AIR-CAP2702E-H-K9,,200-TC-03-01,SY2200-3TC03JC26PS48,10.70.28.159,Fa0/23,3J3y,三楼，大厅，近台湾会议室,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
352,200-AP16,B200,SY2200-3TC-FACC2702-C,10.70.30.241,ASCE,84:3D:C6:07:0E:14,FGL2031X5BC,AIR-CAP2702E-H-K9,,200-TC-03-01,SY2200-3TC03JC26PS48,10.70.28.159,Fa0/24,3C1l,三楼，南区西走廊，南侧，近北京会议室,,New,,1,2016/9/20 0:00,2016;OfficeWifi,,,
